INFO 2024-04-26 16:46:34,641 autoreload 68913 8302721728 Watching for file changes with StatReloader
INFO 2024-04-26 16:47:15,796 autoreload 68922 8302721728 Watching for file changes with StatReloader
INFO 2024-04-26 16:47:20,333 basehttp 68922 6197243904 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:47:23,937 basehttp 68922 6197243904 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:47:26,187 basehttp 68922 6197243904 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:47:28,342 basehttp 68922 6197243904 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:47:30,440 basehttp 68922 6197243904 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:47:32,470 basehttp 68922 6197243904 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:47:34,382 basehttp 68922 6197243904 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:47:36,259 basehttp 68922 6197243904 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:47:38,375 basehttp 68922 6197243904 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:47:40,327 basehttp 68922 6197243904 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:47:42,280 basehttp 68922 6197243904 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:47:49,125 basehttp 68922 6197243904 - Broken pipe from ('192.168.1.6', 56351)
INFO 2024-04-26 16:52:54,317 autoreload 68922 8302721728 /Users/ainurshamsutdinov/Projects/geekbrains/django/1-seminar-django/seminar/seminar/settings.py changed, reloading.
INFO 2024-04-26 16:52:54,474 autoreload 68963 8302721728 Watching for file changes with StatReloader
INFO 2024-04-26 16:53:05,710 basehttp 68963 6162886656 "GET / HTTP/1.1" 200 13
INFO 2024-04-26 16:53:23,843 basehttp 68963 6162886656 "GET /random/dice HTTP/1.1" 301 0
INFO 2024-04-26 16:53:23,845 views 68963 6179713024 Dice page accessed 1
INFO 2024-04-26 16:53:23,845 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:32,570 views 68963 6179713024 Dice page accessed 3
INFO 2024-04-26 16:53:32,571 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:33,653 views 68963 6179713024 Dice page accessed 5
INFO 2024-04-26 16:53:33,654 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:34,705 views 68963 6179713024 Dice page accessed 1
INFO 2024-04-26 16:53:34,706 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:35,612 views 68963 6179713024 Dice page accessed 4
INFO 2024-04-26 16:53:35,613 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:36,129 views 68963 6179713024 Dice page accessed 3
INFO 2024-04-26 16:53:36,130 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:36,501 views 68963 6179713024 Dice page accessed 5
INFO 2024-04-26 16:53:36,501 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:36,814 views 68963 6179713024 Dice page accessed 4
INFO 2024-04-26 16:53:36,815 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:37,164 views 68963 6179713024 Dice page accessed 2
INFO 2024-04-26 16:53:37,165 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:37,433 views 68963 6179713024 Dice page accessed 3
INFO 2024-04-26 16:53:37,434 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:37,692 views 68963 6179713024 Dice page accessed 1
INFO 2024-04-26 16:53:37,693 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:37,922 views 68963 6179713024 Dice page accessed 3
INFO 2024-04-26 16:53:37,922 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:38,130 views 68963 6179713024 Dice page accessed 2
INFO 2024-04-26 16:53:38,131 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:38,311 views 68963 6179713024 Dice page accessed 5
INFO 2024-04-26 16:53:38,312 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:38,476 views 68963 6179713024 Dice page accessed 5
INFO 2024-04-26 16:53:38,477 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:38,658 views 68963 6179713024 Dice page accessed 2
INFO 2024-04-26 16:53:38,659 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:38,814 views 68963 6179713024 Dice page accessed 4
INFO 2024-04-26 16:53:38,814 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:38,995 views 68963 6179713024 Dice page accessed 2
INFO 2024-04-26 16:53:38,996 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:39,157 views 68963 6179713024 Dice page accessed 5
INFO 2024-04-26 16:53:39,157 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:39,491 views 68963 6179713024 Dice page accessed 2
INFO 2024-04-26 16:53:39,492 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:39,673 views 68963 6179713024 Dice page accessed 4
INFO 2024-04-26 16:53:39,674 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:39,832 views 68963 6179713024 Dice page accessed 5
INFO 2024-04-26 16:53:39,833 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:40,011 views 68963 6179713024 Dice page accessed 2
INFO 2024-04-26 16:53:40,012 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:40,191 views 68963 6179713024 Dice page accessed 5
INFO 2024-04-26 16:53:40,192 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:40,352 views 68963 6179713024 Dice page accessed 1
INFO 2024-04-26 16:53:40,353 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:40,540 views 68963 6179713024 Dice page accessed 2
INFO 2024-04-26 16:53:40,541 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:40,704 views 68963 6179713024 Dice page accessed 1
INFO 2024-04-26 16:53:40,704 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:40,860 views 68963 6179713024 Dice page accessed 3
INFO 2024-04-26 16:53:40,861 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:41,046 views 68963 6179713024 Dice page accessed 1
INFO 2024-04-26 16:53:41,047 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:41,198 views 68963 6179713024 Dice page accessed 4
INFO 2024-04-26 16:53:41,199 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:41,359 views 68963 6179713024 Dice page accessed 5
INFO 2024-04-26 16:53:41,360 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:41,529 views 68963 6179713024 Dice page accessed 1
INFO 2024-04-26 16:53:41,530 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:41,696 views 68963 6179713024 Dice page accessed 3
INFO 2024-04-26 16:53:41,696 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:41,877 views 68963 6179713024 Dice page accessed 2
INFO 2024-04-26 16:53:41,878 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:42,031 views 68963 6179713024 Dice page accessed 1
INFO 2024-04-26 16:53:42,033 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:42,204 views 68963 6179713024 Dice page accessed 2
INFO 2024-04-26 16:53:42,205 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:50,172 views 68963 6179713024 Dice page accessed 5
INFO 2024-04-26 16:53:50,172 basehttp 68963 6179713024 "GET /random/dice/ HTTP/1.1" 200 10
INFO 2024-04-26 16:53:50,271 autoreload 68963 8302721728 /Users/ainurshamsutdinov/Projects/geekbrains/django/1-seminar-django/seminar/randomapp/views.py changed, reloading.
